Sample	Duplicates	Group	Station	Fraction	DNA	Season	Year	DayNight	Replicates	Shore	Lake	Depth_C	Depth_Q	Group_nodiel	Duplicates_nodiel
Fa13.BD.MLB.DN.1	Fa13.BD.MLB.DN.1	Fa.BD.MLB.DN	MLB	B	D	Fa	13	N	1	MLB	MLB	D	8	Fa.BD.MLB.D	Fa13.BD.MLB.DN.1
Fa13.BD.MLB.SN.1	Fa13.BD.MLB.SN.1	Fa.BD.MLB.SN	MLB	B	D	Fa	13	N	1	MLB	MLB	S	2	Fa.BD.MLB.S	Fa13.BD.MLB.SN.1
Fa13.BD.MM110.DN.1	Fa13.BD.MM110.DN.1	Fa.BD.110.DN	MM110	B	D	Fa	13	N	1	Off	MM	D	108	Fa.BD.110.D	Fa13.BD.MM110.DN.1
Fa13.BD.MM110.DN.2	Fa13.BD.MM110.DN.1	Fa.BD.110.DN	MM110	B	D	Fa	13	N	2	Off	MM	D	108	Fa.BD.110.D	Fa13.BD.MM110.DN.1
Fa13.BD.MM110.SD.1	Fa13.BD.MM110.SD.1	Fa.BD.110.SD	MM110	B	D	Fa	13	D	1	Off	MM	S	5	Fa.BD.110.S	Fa13.BD.MM110.SD.1
Fa13.BD.MM110.SD.2	Fa13.BD.MM110.SD.1	Fa.BD.110.SD	MM110	B	D	Fa	13	D	2	Off	MM	S	5	Fa.BD.110.S	Fa13.BD.MM110.SD.1
Fa13.BD.MM110.SN.1	Fa13.BD.MM110.SN.1	Fa.BD.110.SN	MM110	B	D	Fa	13	N	1	Off	MM	S	5	Fa.BD.110.S	Fa13.BD.MM110.SD.1
Fa13.BD.MM110.SN.2	Fa13.BD.MM110.SN.1	Fa.BD.110.SN	MM110	B	D	Fa	13	N	2	Off	MM	S	5	Fa.BD.110.S	Fa13.BD.MM110.SD.1
Fa13.BD.MM15.DN.1	Fa13.BD.MM15.DN.1	Fa.BD.15.DN	MM15	B	D	Fa	13	N	1	Near	MM	D	15	Fa.BD.15.D	Fa13.BD.MM15.DN.1
Fa13.BD.MM15.DN.2	Fa13.BD.MM15.DN.1	Fa.BD.15.DN	MM15	B	D	Fa	13	N	2	Near	MM	D	15	Fa.BD.15.D	Fa13.BD.MM15.DN.1
Fa13.BD.MM15.SD.1	Fa13.BD.MM15.SD.1	Fa.BD.15.SD	MM15	B	D	Fa	13	D	1	Near	MM	S	5	Fa.BD.15.S	Fa13.BD.MM15.SD.1
Fa13.BD.MM15.SD.2	Fa13.BD.MM15.SD.1	Fa.BD.15.SD	MM15	B	D	Fa	13	D	2	Near	MM	S	5	Fa.BD.15.S	Fa13.BD.MM15.SD.1
Fa13.BD.MM15.SN.1	Fa13.BD.MM15.SN.1	Fa.BD.15.SN	MM15	B	D	Fa	13	N	1	Near	MM	S	5	Fa.BD.15.S	Fa13.BD.MM15.SD.1
Fa13.BD.MM15.SN.2	Fa13.BD.MM15.SN.1	Fa.BD.15.SN	MM15	B	D	Fa	13	N	2	Near	MM	S	5	Fa.BD.15.S	Fa13.BD.MM15.SD.1
Fa13.ED.MLB.DN.1	Fa13.ED.MLB.DN.1	Fa.ED.MLB.DN	MLB	E	D	Fa	13	N	1	MLB	MLB	D	8	Fa.ED.MLB.D	Fa13.ED.MLB.DN.1
Fa13.ED.MLB.DN.2	Fa13.ED.MLB.DN.1	Fa.ED.MLB.DN	MLB	E	D	Fa	13	N	2	MLB	MLB	D	8	Fa.ED.MLB.D	Fa13.ED.MLB.DN.1
Fa13.ED.MLB.SN.1	Fa13.ED.MLB.SN.1	Fa.ED.MLB.SN	MLB	E	D	Fa	13	N	1	MLB	MLB	S	2	Fa.ED.MLB.S	Fa13.ED.MLB.SN.1
Fa13.ED.MLB.SN.2	Fa13.ED.MLB.SN.1	Fa.ED.MLB.SN	MLB	E	D	Fa	13	N	2	MLB	MLB	S	2	Fa.ED.MLB.S	Fa13.ED.MLB.SN.1
Fa13.ED.MM110.DN.1	Fa13.ED.MM110.DN.1	Fa.ED.110.DN	MM110	E	D	Fa	13	N	1	Off	MM	D	108	Fa.ED.110.D	Fa13.ED.MM110.DN.1
Fa13.ED.MM110.DN.2	Fa13.ED.MM110.DN.1	Fa.ED.110.DN	MM110	E	D	Fa	13	N	2	Off	MM	D	108	Fa.ED.110.D	Fa13.ED.MM110.DN.1
Fa13.ED.MM110.SD.1	Fa13.ED.MM110.SD.1	Fa.ED.110.SD	MM110	E	D	Fa	13	D	1	Off	MM	S	5	Fa.ED.110.S	Fa13.ED.MM110.SD.1
Fa13.ED.MM110.SD.2	Fa13.ED.MM110.SD.1	Fa.ED.110.SD	MM110	E	D	Fa	13	D	2	Off	MM	S	5	Fa.ED.110.S	Fa13.ED.MM110.SD.1
Fa13.ED.MM110.SN.1	Fa13.ED.MM110.SN.1	Fa.ED.110.SN	MM110	E	D	Fa	13	N	1	Off	MM	S	5	Fa.ED.110.S	Fa13.ED.MM110.SD.1
Fa13.ED.MM110.SN.2	Fa13.ED.MM110.SN.1	Fa.ED.110.SN	MM110	E	D	Fa	13	N	2	Off	MM	S	5	Fa.ED.110.S	Fa13.ED.MM110.SD.1
Fa13.ED.MM15.DN.1	Fa13.ED.MM15.DN.1	Fa.ED.15.DN	MM15	E	D	Fa	13	N	1	Near	MM	D	15	Fa.ED.15.D	Fa13.ED.MM15.DN.1
Fa13.ED.MM15.DN.2	Fa13.ED.MM15.DN.1	Fa.ED.15.DN	MM15	E	D	Fa	13	N	2	Near	MM	D	15	Fa.ED.15.D	Fa13.ED.MM15.DN.1
Fa13.ED.MM15.SD.1	Fa13.ED.MM15.SD.1	Fa.ED.15.SD	MM15	E	D	Fa	13	D	1	Near	MM	S	5	Fa.ED.15.S	Fa13.ED.MM15.SD.1
Fa13.ED.MM15.SD.2	Fa13.ED.MM15.SD.1	Fa.ED.15.SD	MM15	E	D	Fa	13	D	2	Near	MM	S	5	Fa.ED.15.S	Fa13.ED.MM15.SD.1
Fa13.ED.MM15.SN.1	Fa13.ED.MM15.SN.1	Fa.ED.15.SN	MM15	E	D	Fa	13	N	1	Near	MM	S	5	Fa.ED.15.S	Fa13.ED.MM15.SD.1
Fa13.ED.MM15.SN.2	Fa13.ED.MM15.SN.1	Fa.ED.15.SN	MM15	E	D	Fa	13	N	2	Near	MM	S	5	Fa.ED.15.S	Fa13.ED.MM15.SD.1
Sp13.BD.MLB.SN.1	Sp13.BD.MLB.SN.1	Sp.BD.MLB.SN	MLB	B	D	Sp	13	N	1	MLB	MLB	S	5	Sp.BD.MLB.S	Sp13.BD.MLB.SN.1
Sp13.BD.MLB.SN.2	Sp13.BD.MLB.SN.1	Sp.BD.MLB.SN	MLB	B	D	Sp	13	N	2	MLB	MLB	S	5	Sp.BD.MLB.S	Sp13.BD.MLB.SN.1
Sp13.BD.MM110.DD.1	Sp13.BD.MM110.DD.1	Sp.BD.110.DD	MM110	B	D	Sp	13	D	1	Off	MM	D	110	Sp.BD.110.D	Sp13.BD.MM110.DD.1
Sp13.BD.MM110.SD.1	Sp13.BD.MM110.SD.1	Sp.BD.110.SD	MM110	B	D	Sp	13	D	1	Off	MM	S	5	Sp.BD.110.S	Sp13.BD.MM110.SD.1
Sp13.BD.MM110.SD.2	Sp13.BD.MM110.SD.1	Sp.BD.110.SD	MM110	B	D	Sp	13	D	2	Off	MM	S	5	Sp.BD.110.S	Sp13.BD.MM110.SD.1
Sp13.BD.MM110.SN.1	Sp13.BD.MM110.SN.1	Sp.BD.110.SN	MM110	B	D	Sp	13	N	1	Off	MM	S	5	Sp.BD.110.S	Sp13.BD.MM110.SD.1
Sp13.BD.MM110.SN.2	Sp13.BD.MM110.SN.1	Sp.BD.110.SN	MM110	B	D	Sp	13	N	2	Off	MM	S	5	Sp.BD.110.S	Sp13.BD.MM110.SD.1
Sp13.BD.MM15.DD.1	Sp13.BD.MM15.DD.1	Sp.BD.15.DD	MM15	B	D	Sp	13	D	1	Near	MM	D	10	Sp.BD.15.D	Sp13.BD.MM15.DD.1
Sp13.BD.MM15.DD.2	Sp13.BD.MM15.DD.1	Sp.BD.15.DD	MM15	B	D	Sp	13	D	1	Near	MM	D	10	Sp.BD.15.D	Sp13.BD.MM15.DD.1
Sp13.BD.MM15.SD.1	Sp13.BD.MM15.SD.1	Sp.BD.15.SD	MM15	B	D	Sp	13	D	1	Near	MM	S	5	Sp.BD.15.S	Sp13.BD.MM15.SD.1
Sp13.BD.MM15.SD.2	Sp13.BD.MM15.SD.1	Sp.BD.15.SD	MM15	B	D	Sp	13	D	1	Near	MM	S	5	Sp.BD.15.S	Sp13.BD.MM15.SD.1
Sp13.BD.MM15.SN.1	Sp13.BD.MM15.SN.1	Sp.BD.15.SN	MM15	B	D	Sp	13	N	1	Near	MM	S	5	Sp.BD.15.S	Sp13.BD.MM15.SD.1
Sp13.BD.MM15.SN.2	Sp13.BD.MM15.SN.1	Sp.BD.15.SN	MM15	B	D	Sp	13	N	2	Near	MM	S	5	Sp.BD.15.S	Sp13.BD.MM15.SD.1
Sp13.ED.MLB.SN.1	Sp13.ED.MLB.SN.1	Sp.ED.MLB.SN	MLB	E	D	Sp	13	N	1	MLB	MLB	S	5	Sp.ED.MLB.S	Sp13.ED.MLB.SN.1
Sp13.ED.MLB.SN.2	Sp13.ED.MLB.SN.1	Sp.ED.MLB.SN	MLB	E	D	Sp	13	N	1	MLB	MLB	S	5	Sp.ED.MLB.S	Sp13.ED.MLB.SN.1
Sp13.ED.MM110.DD.1	Sp13.ED.MM110.DD.1	Sp.ED.110.DD	MM110	E	D	Sp	13	D	2	Off	MM	D	110	Sp.ED.110.D	Sp13.ED.MM110.DD.1
Sp13.ED.MM110.DD.2	Sp13.ED.MM110.DD.1	Sp.ED.110.DD	MM110	E	D	Sp	13	D	2	Off	MM	D	110	Sp.ED.110.D	Sp13.ED.MM110.DD.1
Sp13.ED.MM110.SD.1	Sp13.ED.MM110.SD.1	Sp.ED.110.SD	MM110	E	D	Sp	13	D	1	Off	MM	S	5	Sp.ED.110.S	Sp13.ED.MM110.SD.1
Sp13.ED.MM110.SD.2	Sp13.ED.MM110.SD.1	Sp.ED.110.SD	MM110	E	D	Sp	13	D	2	Off	MM	S	5	Sp.ED.110.S	Sp13.ED.MM110.SD.1
Sp13.ED.MM110.SN.1	Sp13.ED.MM110.SN.1	Sp.ED.110.SN	MM110	E	D	Sp	13	N	1	Off	MM	S	5	Sp.ED.110.S	Sp13.ED.MM110.SD.1
Sp13.ED.MM15.DD.1	Sp13.ED.MM15.DD.1	Sp.ED.15.DD	MM15	E	D	Sp	13	D	1	Near	MM	D	10	Sp.ED.15.D	Sp13.ED.MM15.DD.1
Sp13.ED.MM15.DD.2	Sp13.ED.MM15.DD.1	Sp.ED.15.DD	MM15	E	D	Sp	13	D	2	Near	MM	D	10	Sp.ED.15.D	Sp13.ED.MM15.DD.1
Sp13.ED.MM15.SD.1	Sp13.ED.MM15.SD.1	Sp.ED.15.SD	MM15	E	D	Sp	13	D	1	Near	MM	S	5	Sp.ED.15.S	Sp13.ED.MM15.SD.1
Sp13.ED.MM15.SD.2	Sp13.ED.MM15.SD.1	Sp.ED.15.SD	MM15	E	D	Sp	13	D	2	Near	MM	S	5	Sp.ED.15.S	Sp13.ED.MM15.SD.1
Sp13.ED.MM15.SN.1	Sp13.ED.MM15.SN.1	Sp.ED.15.SN	MM15	E	D	Sp	13	N	2	Near	MM	S	5	Sp.ED.15.S	Sp13.ED.MM15.SD.1
Sp13.ED.MM15.SN.2	Sp13.ED.MM15.SN.1	Sp.ED.15.SN	MM15	E	D	Sp	13	N	2	Near	MM	S	5	Sp.ED.15.S	Sp13.ED.MM15.SD.1
Su13.BD.MLB.DD.1	Su13.BD.MLB.DD.1	Su.BD.MLB.DD	MLB	B	D	Su	13	D	1	MLB	MLB	D	8	Su.BD.MLB.D	Su13.BD.MLB.DD.1
Su13.BD.MLB.SD.1	Su13.BD.MLB.SD.1	Su.BD.MLB.SD	MLB	B	D	Su	13	D	1	MLB	MLB	S	1	Su.BD.MLB.S	Su13.BD.MLB.SD.1
Su13.BD.MM110.DCMD.1	Su13.BD.MM110.DCMD.1	Su.BD.110.DCMD	MM110	B	D	Su	13	D	1	Off	MM	M	36	Su.BD.110.DCM	Su13.BD.MM110.DCMD.1
Su13.BD.MM110.DCMD.2	Su13.BD.MM110.DCMD.1	Su.BD.110.DCMD	MM110	B	D	Su	13	D	2	Off	MM	M	36	Su.BD.110.DCM	Su13.BD.MM110.DCMD.1
Su13.BD.MM110.DN.1	Su13.BD.MM110.DN.1	Su.BD.110.DN	MM110	B	D	Su	13	N	1	Off	MM	D	110	Su.BD.110.D	Su13.BD.MM110.DN.1
Su13.BD.MM110.DN.2	Su13.BD.MM110.DN.1	Su.BD.110.DN	MM110	B	D	Su	13	N	2	Off	MM	D	110	Su.BD.110.D	Su13.BD.MM110.DN.1
Su13.BD.MM110.SD.1	Su13.BD.MM110.SD.1	Su.BD.110.SD	MM110	B	D	Su	13	D	1	Off	MM	S	5	Su.BD.110.S	Su13.BD.MM110.SD.1
Su13.BD.MM110.SD.2	Su13.BD.MM110.SD.1	Su.BD.110.SD	MM110	B	D	Su	13	D	2	Off	MM	S	5	Su.BD.110.S	Su13.BD.MM110.SD.1
Su13.BD.MM110.SN.1	Su13.BD.MM110.SN.1	Su.BD.110.SN	MM110	B	D	Su	13	N	1	Off	MM	S	5	Su.BD.110.S	Su13.BD.MM110.SD.1
Su13.BD.MM110.SN.2	Su13.BD.MM110.SN.1	Su.BD.110.SN	MM110	B	D	Su	13	N	2	Off	MM	S	5	Su.BD.110.S	Su13.BD.MM110.SD.1
Su13.BD.MM15.DN.1	Su13.BD.MM15.DN.1	Su.BD.15.DN	MM15	B	D	Su	13	N	1	Near	MM	D	15	Su.BD.15.D	Su13.BD.MM15.DN.1
Su13.BD.MM15.DN.2	Su13.BD.MM15.DN.1	Su.BD.15.DN	MM15	B	D	Su	13	N	2	Near	MM	D	15	Su.BD.15.D	Su13.BD.MM15.DN.1
Su13.BD.MM15.SD.1	Su13.BD.MM15.SD.1	Su.BD.15.SD	MM15	B	D	Su	13	D	1	Near	MM	S	5	Su.BD.15.S	Su13.BD.MM15.SD.1
Su13.BD.MM15.SD.2	Su13.BD.MM15.SD.1	Su.BD.15.SD	MM15	B	D	Su	13	D	2	Near	MM	S	5	Su.BD.15.S	Su13.BD.MM15.SD.1
Su13.BD.MM15.SN.1	Su13.BD.MM15.SN.1	Su.BD.15.SN	MM15	B	D	Su	13	N	1	Near	MM	S	5	Su.BD.15.S	Su13.BD.MM15.SD.1
Su13.BD.MM15.SN.2	Su13.BD.MM15.SN.1	Su.BD.15.SN	MM15	B	D	Su	13	N	2	Near	MM	S	5	Su.BD.15.S	Su13.BD.MM15.SD.1
Su13.ED.MLB.DD.1	Su13.ED.MLB.DD.1	Su.ED.MLB.DD	MLB	E	D	Su	13	D	1	MLB	MLB	D	8	Su.ED.MLB.D	Su13.ED.MLB.DD.1
Su13.ED.MLB.DD.2	Su13.ED.MLB.DD.1	Su.ED.MLB.DD	MLB	E	D	Su	13	D	2	MLB	MLB	D	8	Su.ED.MLB.D	Su13.ED.MLB.DD.1
Su13.ED.MLB.SD.1	Su13.ED.MLB.SD.1	Su.ED.MLB.SD	MLB	E	D	Su	13	D	1	MLB	MLB	S	1	Su.ED.MLB.S	Su13.ED.MLB.SD.1
Su13.ED.MLB.SD.2	Su13.ED.MLB.SD.1	Su.ED.MLB.SD	MLB	E	D	Su	13	D	2	MLB	MLB	S	1	Su.ED.MLB.S	Su13.ED.MLB.SD.1
Su13.ED.MM110.DCMD.1	Su13.ED.MM110.DCMD.1	Su.ED.110.DCMD	MM110	E	D	Su	13	D	1	Off	MM	M	36	Su.ED.110.DCM	Su13.ED.MM110.DCMD.1
Su13.ED.MM110.DCMD.2	Su13.ED.MM110.DCMD.1	Su.ED.110.DCMD	MM110	E	D	Su	13	D	2	Off	MM	M	36	Su.ED.110.DCM	Su13.ED.MM110.DCMD.1
Su13.ED.MM110.SD.1	Su13.ED.MM110.SD.1	Su.ED.110.SD	MM110	E	D	Su	13	D	1	Off	MM	S	5	Su.ED.110.S	Su13.ED.MM110.SD.1
Su13.ED.MM110.SD.2	Su13.ED.MM110.SD.1	Su.ED.110.SD	MM110	E	D	Su	13	D	2	Off	MM	S	5	Su.ED.110.S	Su13.ED.MM110.SD.1
Su13.ED.MM110.SN.1	Su13.ED.MM110.SN.1	Su.ED.110.SN	MM110	E	D	Su	13	N	1	Off	MM	S	5	Su.ED.110.S	Su13.ED.MM110.SD.1
Su13.ED.MM110.SN.2	Su13.ED.MM110.SN.1	Su.ED.110.SN	MM110	E	D	Su	13	N	2	Off	MM	S	5	Su.ED.110.S	Su13.ED.MM110.SD.1
Su13.ED.MM15.DN.1	Su13.ED.MM15.DN.1	Su.ED.15.DN	MM15	E	D	Su	13	N	1	Near	MM	D	15	Su.ED.15.D	Su13.ED.MM15.DN.1
Su13.ED.MM15.DN.2	Su13.ED.MM15.DN.1	Su.ED.15.DN	MM15	E	D	Su	13	N	2	Near	MM	D	15	Su.ED.15.D	Su13.ED.MM15.DN.1
Su13.ED.MM15.SD.1	Su13.ED.MM15.SD.1	Su.ED.15.SD	MM15	E	D	Su	13	D	1	Near	MM	S	5	Su.ED.15.S	Su13.ED.MM15.SD.1
Su13.ED.MM15.SD.2	Su13.ED.MM15.SD.1	Su.ED.15.SD	MM15	E	D	Su	13	D	2	Near	MM	S	5	Su.ED.15.S	Su13.ED.MM15.SD.1
Su13.ED.MM15.SN.1	Su13.ED.MM15.SN.1	Su.ED.15.SN	MM15	E	D	Su	13	N	1	Near	MM	S	5	Su.ED.15.S	Su13.ED.MM15.SD.1
Su13.ED.MM15.SN.2	Su13.ED.MM15.SN.1	Su.ED.15.SN	MM15	E	D	Su	13	N	2	Near	MM	S	5	Su.ED.15.S	Su13.ED.MM15.SD.1